goos: linux
goarch: amd64
pkg: github.com/grafana/mimir/pkg/ingester/activeseries
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_5-16       	  365497	      3288 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_5-16       	  363170	      3294 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_5-16       	  329209	      3261 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_5-16       	  367729	      3285 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_5-16       	  358935	      3288 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_5-16       	  360902	      3277 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_5-16       	  345357	      3292 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_5-16       	  364410	      3261 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_5-16       	  365857	      3266 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_5-16       	  366904	      3310 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_0-16        	 1000000	      1028 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_0-16        	 1000000	      1008 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_0-16        	 1000000	      1012 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_0-16        	 1000000	      1023 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_0-16        	 1000000	      1007 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_0-16        	 1000000	      1003 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_0-16        	 1000000	      1007 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_0-16        	 1000000	      1006 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_0-16        	 1000000	      1019 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_0-16        	 1000000	      1012 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_1-16        	 1000000	      1053 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_1-16        	 1000000	      1063 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_1-16        	 1000000	      1067 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_1-16        	 1000000	      1060 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_1-16        	 1000000	      1075 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_1-16        	 1000000	      1045 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_1-16        	 1000000	      1086 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_1-16        	 1000000	      1075 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_1-16        	 1000000	      1053 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_1-16        	 1000000	      1063 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_1-16       	  757197	      1603 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_1-16       	  757612	      1573 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_1-16       	  760642	      1564 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_1-16       	  765720	      1616 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_1-16       	  762236	      1590 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_1-16       	  746427	      1587 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_1-16       	  748242	      1571 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_1-16       	  747316	      1578 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_1-16       	  758300	      1609 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_1-16       	  750852	      1565 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_2-16       	  747873	      1613 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_2-16       	  725560	      1593 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_2-16       	  751754	      1609 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_2-16       	  749414	      1673 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_2-16       	  748646	      1610 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_2-16       	  718557	      1641 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_2-16       	  749976	      1593 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_2-16       	  734983	      1610 ns/op	       0 B/op	       0 allocs/op
