BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12           	   28090	     43185 ns/op	    1688 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12           	   28116	     43133 ns/op	    1688 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12          	   25284	     43271 ns/op	    3136 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12          	   27542	     42771 ns/op	    3136 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12          	   27105	     43547 ns/op	    3136 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12          	   27562	     42950 ns/op	    3136 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12          	   27518	     43192 ns/op	    3136 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12           	    9404	    127186 ns/op	   27288 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12           	    9466	    126561 ns/op	   27288 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12           	    9390	    125028 ns/op	   27288 B/op	       5 allocs/op
