step,ing_min,ing_max,ing_mean,ing_p99,ing_stddev,ing_max_mean,qry_min,qry_max,qry_mean,qry_p99,qry_stddev,qry_max_mean,ing_moves,qry_moves,ing_churn,catchup_count,catchup_load
102,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
103,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
104,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
105,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
106,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
107,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
108,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
109,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
110,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
111,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
112,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
113,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
114,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
115,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
116,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
117,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
118,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
119,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
120,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
121,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
122,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
123,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
124,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
125,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
126,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
127,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
128,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
129,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
130,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
131,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
132,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
133,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
134,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
135,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
136,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
137,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
138,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
139,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
140,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
141,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
142,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
